blk_no,street,bldg_contract_town,lat,lon,postal,full_address
102,BEDOK NTH AVE 4,BD,1.333906548,103.9374584,460102,102 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460102
102,BEDOK RESERVOIR RD,BD,1.328491877,103.9092652,470102,102 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470102
102,BISHAN ST 12,BH,1.345143123,103.8479908,570102,102 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570102
102,BT BATOK WEST AVE 6,BB,1.347458339,103.7474733,650102,102 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650102
102,BT PURMEI RD,BM,1.271908423,103.8266717,90102,102 BUKIT PURMEI ROAD BUKIT PURMEI VILLE SINGAPORE 090102
102,C'WEALTH CRES,QT,1.307824649,103.8006298,140102,102 COMMONWEALTH CRESCENT CRESCENT VIEW SINGAPORE 140102
102,CLEMENTI ST 14,CL,1.322285572,103.7692019,120102,102 CLEMENTI STREET 14 SUNSET WAY RESIDENCE SINGAPORE 120102
102,GANGSA RD,BP,1.379107628,103.7681538,670102,102 GANGSA ROAD SINGAPORE 670102
102,HENDERSON CRES,BM,1.290366187,103.8215771,150102,102 HENDERSON CRESCENT SINGAPORE 150102
102,HOUGANG AVE 1,HG,1.354964463,103.8908551,530102,102 HOUGANG AVENUE 1 SINGAPORE 530102
102,JLN RAJAH,KWN,1.328223064,103.8515198,321102,102 JALAN RAJAH RAJAH COURT SINGAPORE 321102
102,JLN DUSUN,KWN,1.327868743,103.8442096,320102,102 JALAN DUSUN AH HOOD GARDENS SINGAPORE 320102
102,JURONG EAST ST 13,JE,1.336096579,103.7382192,600102,102 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600102
102,LENGKONG TIGA,BD,1.325579307,103.9106575,410102,102 LENGKONG TIGA KEMBANGAN GARDENS SINGAPORE 410102
102,PASIR RIS ST 12,PRC,1.367484273,103.9580411,510102,102 PASIR RIS STREET 12 SINGAPORE 510102
102,POTONG PASIR AVE 1,TP,1.333690127,103.8688106,350102,102 POTONG PASIR AVENUE 1 SINGAPORE 350102
102,RIVERVALE WALK,SK,1.38180761,103.9008932,540102,102 RIVERVALE WALK RIVERVALE COURT SINGAPORE 540102
102,SERANGOON NTH AVE 1,SGN,1.370843273,103.8711536,550102,102 SERANGOON NORTH AVENUE 1 HWI YOH COURT SINGAPORE 550102
102,SIMEI ST 1,TAP,1.34134725,103.9513551,520102,102 SIMEI STREET 1 SINGAPORE 520102
102,SPOTTISWOODE PK RD,BM,1.27472973,103.8362355,80102,102 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080102
102,TAMPINES ST 11,TAP,1.346716163,103.9455214,521102,102 TAMPINES STREET 11 SINGAPORE 521102
102,TECK WHYE LANE,CCK,1.377082841,103.7543944,680102,102 TECK WHYE LANE SINGAPORE 680102
102,TOWNER RD,KWN,1.320586095,103.862002,322102,102 TOWNER ROAD SINGAPORE 322102
102,WOODLANDS ST 13,WL,1.436082949,103.7811996,730102,102 WOODLANDS STREET 13 SINGAPORE 730102
102A,BIDADARI PK DR,TP,1.3373559,103.8713907,341102,102A BIDADARI PARK DRIVE ALKAFF COURTVIEW SINGAPORE 341102
102A,CANBERRA ST,SB,1.451193905,103.8322276,751102,102A CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 751102
102A,DEPOT RD,BM,1.280291346,103.8133324,101102,102A DEPOT ROAD DEPOT HEIGHTS SINGAPORE 101102
102A,PUNGGOL FIELD,PG,1.398833183,103.9057836,821102,102A PUNGGOL FIELD SINGAPORE 821102
102B,BIDADARI PK DR,TP,1.336220454,103.8718471,342102,102B BIDADARI PARK DRIVE ALKAFF COURTVIEW SINGAPORE 342102
102B,CANBERRA ST,SB,1.451239704,103.8314364,752102,102B CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 752102
102B,PUNGGOL FIELD,PG,1.399085258,103.9054714,822102,102B PUNGGOL FIELD SINGAPORE 822102
102C,PUNGGOL FIELD,PG,1.398761278,103.904939,823102,102C PUNGGOL FIELD SINGAPORE 823102
102D,PUNGGOL FIELD,PG,1.398480708,103.9052498,824102,102D PUNGGOL FIELD SINGAPORE 824102
103,AH HOOD RD,KWN,1.327962675,103.844827,320103,103 AH HOOD ROAD AH HOOD GARDENS SINGAPORE 320103
103,ALJUNIED CRES,GL,1.320516922,103.8832703,380103,103 ALJUNIED CRESCENT SINGAPORE 380103
103,ANG MO KIO AVE 3,AMK,1.371016578,103.8393048,560103,103 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560103
103,BEDOK NTH AVE 4,BD,1.333482588,103.9375425,460103,103 BEDOK NORTH AVENUE 4 PCF SPARKLETOTS PRESCHOOL @ FENGSHAN BLK 103 (KN) SINGAPORE 460103
103,BEDOK RESERVOIR RD,BD,1.328770222,103.9093814,470103,103 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470103
103,BISHAN ST 12,BH,1.345512491,103.8483142,570103,103 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570103
103,BT BATOK CTRL,BB,1.348223682,103.7480345,650103,103 BUKIT BATOK CENTRAL SINGAPORE 650103
