school_name,address,postal_code,lat,long
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51   ,689333,1.390051099,103.7411907
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,1.349398137,103.8550182
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13   ,579795,1.350171299,103.8549837
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk   ,618310,,
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52   ,659243,1.354241911,103.7541658
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11   ,519073,1.366584172,103.9569446
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,1.328580239,103.9013069
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1   ,408940,1.327471231,103.90172
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,1.341391812,103.8777407
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD   ,738927,1.43383904,103.773643
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD   ,739110,1.436644248,103.7760081
MARYMOUNT CONVENT SCHOOL,20 Marymount Road   ,297754,1.340438407,103.8398117
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,569878,1.376376835,103.8432528
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21   ,569384,1.368272662,103.8353607
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71   ,518798,1.375506771,103.9349533
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51   ,518901,1.367246849,103.9489725
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,599986,1.332662136,103.7833821
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE   ,599986,1.332662136,103.7833821
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8   ,658965,1.350319392,103.7415936
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8   ,538786,1.373624452,103.8897415
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8   ,538785,1.373961317,103.8889284
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK   ,545079,1.388795825,103.8900044
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK   ,545080,1.392211499,103.8911809
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1   ,129956,1.308095295,103.7685614
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng   ,128806,1.3192016,103.7610951
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE   ,288683,1.330583267,103.802421
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3   ,556111,1.350283149,103.8664987
NANYANG PRIMARY SCHOOL,52 KING'S ROAD   ,268097,1.321070942,103.8076819
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD   ,288913,1.330292911,103.8041109
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4   ,769028,1.415901957,103.8391006
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD   ,768689,1.419378816,103.8310504
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road   ,148812,1.299811389,103.7999648
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD   ,139657,1.3097759,103.7731886
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE   ,449149,1.305532242,103.91757
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32   ,529283,1.354475258,103.9567473
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET   ,545088,1.387061465,103.9032027
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6   ,768960,1.427451595,103.8483784
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link   ,544974,1.382550662,103.8962646
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK   ,545081,1.381131285,103.8991888
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD   ,768692,1.42081285,103.8451473
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4   ,769026,1.421304042,103.8407929
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22   ,768578,1.435801834,103.8401047
NORTHLIGHT SCHOOL,151 Towner Road   ,327830,1.319100216,103.8557596
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive   ,757622,1.457328673,103.8140756
NORTHSHORE PRIMARY SCHOOL,30 Northshore Drive   ,828671,1.418423221,103.9051472
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 Clementi Avenue 1   ,129957,1.306006781,103.7701528
OASIS PRIMARY SCHOOL,71 Edgefield Plains   ,828716,1.405071848,103.9112002
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET   ,458436,1.319968764,103.9237527
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81   ,768454,1.415320328,103.8378592
OUTRAM SECONDARY SCHOOL,3 YORK HILL   ,168622,1.286513575,103.8371273
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow   ,544822,1.38376923,103.8913547
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1   ,519524,1.378016876,103.9392022
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41   ,518934,1.372840601,103.9597282
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21   ,518968,1.372451327,103.9629227
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21   ,529400,1.354227327,103.9489626
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,536741,1.35025456,103.8848469
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO   ,536742,1.350967559,103.8851201
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH   ,319320,1.336778644,103.8553413
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,597610,1.338073021,103.7762509
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK   ,797702,1.39037505,103.8784617
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5   ,129857,1.316665293,103.767439
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4   ,556094,1.359515832,103.8700107
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK   ,575566,1.366659447,103.8302161
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD   ,768687,1.417416276,103.8301432
PIONEER PRIMARY SCHOOL,80 TENGAH GARDEN AVENUE   ,699915,1.354425929,103.7327909
POI CHING SCHOOL,21 TAMPINES STREET 71   ,529067,1.357651219,103.9352465
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6   ,569845,1.381754374,103.842383
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3   ,659163,1.349190989,103.7407192
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk   ,828674,1.411584556,103.8989045
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk   ,828772,1.401725905,103.8987943
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8   ,538787,1.378200625,103.8946672
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS   ,828870,1.402057384,103.9092137
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place   ,828845,1.405052502,103.905299
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE   ,128104,1.313265833,103.7566291
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81   ,738525,1.442035966,103.7883398
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR   ,149303,1.295529056,103.8076485
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD   ,148800,1.293521268,103.813191
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE   ,149295,1.300222716,103.8022073
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE   ,99840,1.274897015,103.8241158
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road   ,289072,1.330041781,103.8063978
RAFFLES GIRLS' SCHOOL (SECONDARY),2 BRADDELL RISE   ,318871,1.342174799,103.843134
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE   ,575954,1.34629045,103.8436202
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3   ,469719,1.334056596,103.9343175
REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5   ,689621,1.393279083,103.7510344
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE   ,649961,1.344595842,103.7081907
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN   ,237993,1.294183478,103.8360189
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent   ,737803,1.447004265,103.801889
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81   ,738524,1.441101571,103.7883082
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT   ,688268,1.402783032,103.7468012
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE   ,545092,1.393335063,103.9045453
ROSYTH SCHOOL,21 Serangoon North Avenue 4   ,555855,1.372858365,103.8747717
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52   ,649295,1.346738689,103.718458
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 Technology Drive   ,138572,1.312928106,103.7740115
"SCHOOL OF THE ARTS, SINGAPORE",1 Zubir Said Drive 05 01 ,227968,1.299364804,103.8486874
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE   ,757715,1.44574531,103.8211527
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT   ,757704,1.445315021,103.8168433
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK   ,545166,1.389250448,103.8995279
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE   ,545090,1.386596831,103.898365
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,1.392540093,103.8749849
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1   ,555889,1.369325705,103.8692703
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW   ,534237,1.374655388,103.9021387
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,1.346869673,103.7215594
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1   ,739067,1.432409357,103.7860351
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,309437,1.320634084,103.828165
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD   ,309437,1.320634084,103.828165
SINGAPORE SPORTS SCHOOL,1 Champions Way   ,737913,1.426411406,103.7894448
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central   ,689762,1.38143124,103.7471537
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64   ,737758,1.437037508,103.8041005
